Food ID,Food Name,Calories,Total Carbohydrate,Protein,Dietary Fiber,Vitamin A,Vitamin C,Vitamin B,Iron,Calcium,Serving Size,Serving Size (grams)
19397154,bibimbap,340,56.0,13.0,3.0,0,0.0,0,0.0,0,1 bowl,250.0
38873,cheesecake,321,25.5,5.5,0.4,142,0.4,0,0.63,51,100 g,100.0
1714,chicken wings,288,0.0,26.64,0.0,47,0.0,0,1.26,15,100 g,100.0
38840,chocolate_cake,367,54.6,4.1,2.8,26,0.1,0,2.2,43,100 g,100.0
4223,churros,447,45.94,2.79,0.7,21,0.0,0,1.25,6,100 g,100.0
39134,cup_cakes,305,67.2,4.3,4.3,0,0.0,0,1.54,36,100 g,100.0
38969,donuts,426,50.8,5.2,1.5,3,0.1,0,1.06,60,100 g,100.0
1941,fish_and_chips,199,6.71,16.72,0.2,17,0.4,0,0.72,33,100 g,100.0
5762,french_fries,274,35.66,3.48,3.3,0,5.4,0,1.21,13,100 g,100.0
4384,french_toast,244,30.8,8.59,1.2,55,0.0,0,2.49,117,100 g,100.0
5099,fried shrimp,168,21.06,6.3,0.7,21,1.7,0,1.39,19,100 g,100.0
58704864,gyoza,120,17.0,7.0,2.0,0,0.0,0,1.6,30,4 gyoza,200.0
40406,hamburger,254,0.0,17.17,0.0,0,0.0,0,1.94,18,100 g,100.0
1107,ice_cream,201,24.4,3.52,0.7,110,0.6,0,0.14,126,100 g,100.0
4989,lasagna,163,17.2,9.96,1.3,36,3.5,0,1.39,120,100 g,100.0
5057,macaroni_and_cheese,203,21.46,7.94,1.1,90,0.0,0,1.0,155,100 g,100.0
25545924,macarons,100,12.0,2.0,1.0,0,0.0,0,0.0,0,2 cookies,60.0
6847018,omelette,300,2.0,20.0,0.0,0,0.0,0,0.0,0,1 serving,250.0
2165,oysters,68,3.91,7.05,0.0,30,3.7,0,6.66,45,100 g,100.0
145482,ramen,190,27.0,4.0,1.0,0,0.0,0,10.0,0,1/2 block noodles with seasoning,100.0
4956,samosa,308,32.21,4.67,1.7,45,4.5,0,1.78,27,100 g,100.0
499712,spring_rolls,98,11.63,3.1,1.0,16,3.9,0,0.98,18,100 g,100.0
5104,sushi,143,29.9,4.3,0.8,45,2.0,0,1.36,19,100 g,100.0
4823,tacos,283,20.77,13.95,2.7,23,0.6,0,1.93,115,100 g,100.0
39070,waffles,291,32.9,7.9,0.0,65,0.4,0,2.31,255,100 g,100.0
5873757,pad_thai,170,22.49,5.79,1.5,53,4.1,0,1.19,28,100 g,100.0
39009,pancakes,227,28.3,6.4,0.0,54,0.3,0,1.8,219,100 g,100.0
4881,pizza,276,30.33,12.33,1.9,79,0.3,0,1.86,210,100 g,100.0
6098856,red_velvet_cake,367,46.81,6.81,1.4,74,0.1,0,0.96,38,100 g,100.0
70594,risotto,140,27.0,5.0,1.0,0,0.0,0,0.0,0,1/2 cup cooked,62.5
437027,sashimi,146,0.0,21.62,0.0,30,1.0,0,0.56,36,100 g,100.0
4524271,spaghetti_bolognese,146,18.18,7.12,1.7,11,3.9,0,1.59,16,100 g,100.0
5071,spaghetti_carbonara,191,25.72,8.05,1.5,15,0.4,0,1.35,31,100 g,100.0
37657,steak,201,0.0,20.3,0.0,0,0.0,0,1.48,24,100 g,100.0
5796962,takoyaki,175,17.77,8.45,0.7,42,2.8,0,1.96,31,100 g,100.0
1234,tiramisu,283,24.41,4.77,0.9,150,0.7,0,1.29,50,100 g,100.0
15040634,chicken porridge,155,15.05,11.48,0.8,15,1.4,0,0.88,16,100 g,100.0
10486129,gado-gado,132,10.9,7.14,2.9,74,14.9,0,1.58,56,100 g,100.0
450773,ikan bakar,109,0.28,22.6,0.0,24,1.7,0,0.35,14,100 g,100.0
12892727,chicken noodle,175,19.25,6.96,1.0,11,0.7,0,1.28,14,100 g,100.0
2973,oxtail soup,28,3.54,1.11,0.2,0,0.0,0,0.1,4,100 g,100.0
14961724,chicken Soto,130,8.11,9.96,0.7,27,1.5,0,1.34,19,100 g,100.0
2181,fried shrimp,245,11.77,20.7,0.5,62,1.4,0,2.99,65,100 g,100.0
5912605,rendang,195,4.49,19.68,1.7,2,6.0,0,2.38,30,100 g,100.0
2221,grilled chicken,796,96.06,26.24,2.8,165,29.1,0,15.8,291,1,250.0
2224,kupat tahu,1077,230.54,45.0,7.8,86,4.6,0,7.19,426,1,250.0
33333,grilled chicken,207,1.0,38.65,0.1,8,0.6,0,1.26,19,1,250.0
455522,green bean porridge,565,110.43,34.36,33.4,1839,326.8,0,15.87,467,1,250.0
899777,nasi uduk,683,82.54,17.85,4.0,39,4.7,0,4.67,96,1,250.0
546030,meatball,202,7.58,12.41,0.5,15,0.8,0,1.77,46,100 g,100.0
39955,hot_dog,247,18.4,10.6,0.0,0,0.1,0,2.36,24,100 g,100.0
12333,satay,592,69.86,39.61,2.3,762,40.4,0,6.28,122,1,250.0
38365,Tempeh,196,9.35,18.19,0.0,0,0.0,0,2.13,96,100 g,100.0
